basis,layer,n,best_model_excess_mean,best_model_excess_std,best_op_excess_mean,best_op_excess_std,best_op_signal_error_mean,best_op_signal_error_std,best_rank_mean,best_rank_std,candidate_dim_mean,candidate_dim_std,layer_mean,layer_std,model_excess_at_oracle_mean,model_excess_at_oracle_std,model_excess_at_strict_mean,model_excess_at_strict_std,op_excess_at_oracle_mean,op_excess_at_oracle_std,op_excess_at_strict_mean,op_excess_at_strict_std,op_signal_error_at_oracle_mean,op_signal_error_at_oracle_std,op_signal_error_at_strict_mean,op_signal_error_at_strict_std,r_eff_T_task_mean,r_eff_T_task_std,r_eff_T_task_strict_mean,r_eff_T_task_strict_std,rank_at_oracle_mean,rank_at_oracle_std,rank_at_strict_mean,rank_at_strict_std,rank_to_alpha_mean,rank_to_alpha_std,reach_alpha_mean,reach_alpha_std
combined,0,16,133290.39095569274,435291.2470739688,0.003949301157095489,0.015551687888747142,0.001211033517241497,0.0037723598208196703,45.5,4.6475800154489,45.75,4.494441010848846,0.0,0.0,133291.2945720402,435296.9586299072,133290.24627504701,435290.739902668,0.04449884158381795,0.012852465120656735,0.005631449835103163,0.018677671376597167,0.09250564317438419,0.06040051250640978,0.00908423112696894,0.0021209339358346214,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.733333333333334,8.721620644505624,0.9375,0.25
combined,1,16,133290.39241767232,435291.246596454,0.00038165624810130943,0.0015266249924052377,0.00028671394660377623,0.0011468557863789362,46.625,1.5,46.625,1.5,1.0,0.0,133291.2956549066,435296.9582762213,133290.2477095668,435290.7394341221,0.04171784381287636,0.005532450918184925,0.0023867074656146953,0.005990631566996853,0.09217129740402248,0.06085023692344693,0.008572390560413826,0.000993158017875235,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
combined,2,16,133290.39135954875,435291.24694206053,1.3876559447338112e-25,5.395326232716124e-25,1.3752892794978412e-14,2.066735610264896e-14,47.0,0.0,47.0,0.0,2.0,0.0,133291.29475083164,435296.9585715103,133290.2466582561,435290.7397775035,0.04141728266299247,0.005512460484989595,0.0020418193856487693,0.004638134173028852,0.09212818664665075,0.06091076629892546,0.008503613074995786,0.0009855453546294638,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
combined,3,16,133290.39135954875,435291.24694206053,1.3701173350865756e-25,5.324811893416627e-25,1.3874254294357432e-14,2.0443241483156604e-14,47.0,0.0,47.0,0.0,3.0,0.0,133291.29475083164,435296.9585715103,133290.2466582561,435290.7397775035,0.041417282662992494,0.005512460484989588,0.002041819385648769,0.004638134173028852,0.09212818664665076,0.06091076629892545,0.008503613074995784,0.0009855453546294651,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
combined,4,16,133290.39135954875,435291.24694206053,1.428092271978123e-25,5.560081668394224e-25,1.3897614816243668e-14,2.089598946406607e-14,47.0,0.0,47.0,0.0,4.0,0.0,133291.29475083164,435296.9585715103,133290.2466582561,435290.7397775035,0.04141728266299247,0.005512460484989595,0.0020418193856487662,0.004638134173028842,0.09212818664665075,0.06091076629892545,0.008503613074995784,0.0009855453546294653,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
combined,5,16,133290.39135954875,435291.24694206053,1.3917130485649046e-25,5.414161499143344e-25,1.3737256672991449e-14,2.0666795792705095e-14,47.0,0.0,47.0,0.0,5.0,0.0,133291.29475083164,435296.9585715103,133290.2466582561,435290.7397775035,0.04141728266299247,0.005512460484989596,0.0020418193856487684,0.004638134173028853,0.09212818664665075,0.06091076629892546,0.008503613074995784,0.0009855453546294632,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
combined,6,16,133290.39135954875,435291.24694206053,1.4073786986753214e-25,5.476099003329147e-25,1.3807509246438243e-14,2.0769550325679207e-14,47.0,0.0,47.0,0.0,6.0,0.0,133291.29475083164,435296.9585715103,133290.24665825607,435290.7397775033,0.04141728266299248,0.005512460484989589,0.0020418193856487697,0.0046381341730288555,0.09212818664665075,0.06091076629892545,0.008503613074995784,0.0009855453546294623,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
combined,7,16,133290.39135954875,435291.24694206053,1.4002610373806504e-25,5.4463698292446975e-25,1.3914962318221245e-14,2.066039725050481e-14,47.0,0.0,47.0,0.0,7.0,0.0,133291.29475083164,435296.9585715103,133290.2466582561,435290.7397775035,0.04141728266299248,0.005512460484989592,0.002041819385648771,0.004638134173028861,0.09212818664665075,0.06091076629892545,0.008503613074995784,0.0009855453546294658,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
combined,8,16,133290.39135954875,435291.24694206053,1.3917875938769496e-25,5.410930985623145e-25,1.3772967750465451e-14,2.0670886321981628e-14,47.0,0.0,47.0,0.0,8.0,0.0,133291.29475083164,435296.9585715103,133290.2466582561,435290.7397775035,0.04141728266299248,0.005512460484989595,0.0020418193856487675,0.004638134173028847,0.09212818664665075,0.06091076629892545,0.008503613074995784,0.0009855453546294638,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
raw,0,16,133290.3915947863,435291.2468651418,0.000576202288443586,0.0022346751653074346,0.0005056787318117038,0.0014875689539892486,40.375,3.6492008257516693,40.9375,3.75,0.0,0.0,133291.29494055925,435296.95850954455,133290.2469842582,435290.73967104184,0.041813456910331684,0.005592502530043325,0.0024733606458146504,0.006270898760680556,0.09218786867113425,0.060829021748221246,0.008608812814528239,0.0009924164794408543,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
raw,1,16,133290.39145620962,435291.24691048893,0.00020878387242353504,0.0008345335573030922,0.00023929366777661096,0.0008477102567609768,46.0625,3.4922533317806903,46.0625,3.4922533317806903,1.0,0.0,133291.29479301107,435296.9585577337,133290.24676766174,435290.7397417691,0.041573749672382324,0.005490185386444423,0.002215076757720542,0.00531525501726167,0.09215100334372381,0.06087874907147201,0.008539916774616095,0.0009798700577054302,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
raw,2,16,133290.39125506012,435291.2469761888,3.924440726651852e-05,0.0001569776290660741,9.193936874248585e-05,0.00036775747493414184,46.5625,1.75,46.6875,1.25,2.0,0.0,133291.2945875415,435296.95862484415,133290.24653695582,435290.7398171228,0.04144537878634616,0.00550321512090134,0.00207216752690415,0.004756522559366977,0.09213232397060206,0.06090493874600392,0.008510035890852436,0.0009830048061321502,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
raw,3,16,133290.39135954875,435291.24694206053,1.378765734583019e-25,5.361339227442279e-25,1.3746181216994122e-14,2.0544981816235293e-14,47.0,0.0,47.0,0.0,3.0,0.0,133291.29475083164,435296.9585715103,133290.2466582561,435290.7397775035,0.04141728266299248,0.005512460484989591,0.0020418193856487667,0.0046381341730288425,0.09212818664665075,0.06091076629892545,0.008503613074995784,0.0009855453546294627,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
raw,4,16,133290.39135954875,435291.24694206053,1.383422588159683e-25,5.380213509049269e-25,1.3649018014114713e-14,2.0646548149759732e-14,47.0,0.0,47.0,0.0,4.0,0.0,133291.29475083164,435296.9585715103,133290.2466582561,435290.7397775035,0.04141728266299249,0.00551246048498959,0.0020418193856487727,0.004638134173028867,0.09212818664665075,0.06091076629892545,0.008503613074995786,0.0009855453546294625,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
raw,5,16,133290.39135954875,435291.24694206053,1.4216099573636742e-25,5.531037210468076e-25,1.3908402193734862e-14,2.0860160973351693e-14,47.0,0.0,47.0,0.0,5.0,0.0,133291.29475083164,435296.9585715103,133290.2466582561,435290.7397775035,0.04141728266299249,0.0055124604849895896,0.002041819385648771,0.004638134173028861,0.09212818664665075,0.06091076629892545,0.008503613074995784,0.0009855453546294606,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
raw,6,16,133290.39135954875,435291.24694206053,1.375997873172037e-25,5.350480858706985e-25,1.3793709266474656e-14,2.0509244423622906e-14,47.0,0.0,47.0,0.0,6.0,0.0,133291.29475083164,435296.9585715103,133290.2466582561,435290.7397775035,0.04141728266299249,0.005512460484989591,0.0020418193856487662,0.004638134173028842,0.09212818664665075,0.06091076629892545,0.008503613074995784,0.0009855453546294647,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
raw,7,16,133290.39135954875,435291.24694206053,1.4104471828740484e-25,5.489253169186494e-25,1.382995480254166e-14,2.077868636209666e-14,47.0,0.0,47.0,0.0,7.0,0.0,133291.29475083164,435296.9585715103,133290.2466582561,435290.7397775035,0.04141728266299249,0.0055124604849895896,0.0020418193856487723,0.004638134173028865,0.09212818664665075,0.06091076629892545,0.008503613074995788,0.0009855453546294636,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
raw,8,16,133290.39135954875,435291.24694206053,1.4121562564816843e-25,5.494570095152553e-25,1.3977046865405659e-14,2.0728462399661108e-14,47.0,0.0,47.0,0.0,8.0,0.0,133291.29475083164,435296.9585715103,133290.24665825607,435290.7397775033,0.04141728266299248,0.0055124604849895896,0.0020418193856487684,0.00463813417302885,0.09212818664665075,0.06091076629892545,0.008503613074995784,0.0009855453546294642,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
response,0,16,133285.2027688083,435272.7250039761,1.1906870580545696,1.140859095715349,0.3533757394841113,0.17004442251552543,16.0,0.0,16.0,0.0,0.0,0.0,133286.57511160587,435277.9757663231,133285.2027688083,435272.7250039761,1.1924871943096544,1.1391657213451853,1.1906870580545696,1.140859095715349,0.354669006594247,0.16983514611612638,0.3533757394841113,0.17004442251552543,19.8125,8.431834517667749,32.4375,5.819149422381247,13.9375,4.186784764788688,16.0,0.0,,,0.0,0.0
response,1,16,133290.39656775497,435291.24524094554,0.012455162031478,0.04982064812591199,0.0016378997678505197,0.006551599071366141,46.0625,3.75,46.0625,3.75,1.0,0.0,133291.29942212338,435296.957045773,133290.2517656164,435290.73810932663,0.05311320988530624,0.046598809192443844,0.014067011222008048,0.0526313976365081,0.09314562971514467,0.05959901786106353,0.009684906990162157,0.004717770793954318,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.733333333333334,8.721620644505624,0.9375,0.25
response,2,16,133290.3942299064,435291.24600453826,0.0005476147844685975,0.00219045913787439,0.00034343947599009696,0.0013737579039247918,46.8125,0.75,46.9375,0.25,2.0,0.0,133291.29734291128,435296.95772488514,133290.24953787168,435290.7388369572,0.041901550144932506,0.0056715405392773945,0.002569150087397401,0.006710546238005515,0.09219650062971796,0.0608150490829,0.008605633250589046,0.0010236729214241115,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
response,3,16,133290.39135954875,435291.24694206053,1.4240234388382556e-25,5.542750532662386e-25,1.387688050233909e-14,2.0852988864023827e-14,47.0,0.0,47.0,0.0,3.0,0.0,133291.29475083164,435296.9585715103,133290.2466582561,435290.7397775035,0.04141728266299248,0.00551246048498959,0.0020418193856487727,0.004638134173028866,0.09212818664665075,0.06091076629892545,0.008503613074995784,0.000985545354629464,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
response,4,16,133290.39135954875,435291.24694206053,1.400476905908296e-25,5.448042005435328e-25,1.3935421994606657e-14,2.065106783900645e-14,47.0,0.0,47.0,0.0,4.0,0.0,133291.29475083164,435296.9585715103,133290.2466582561,435290.7397775035,0.04141728266299249,0.005512460484989588,0.0020418193856487684,0.00463813417302885,0.09212818664665075,0.06091076629892545,0.008503613074995784,0.000985545354629463,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
response,5,16,133290.39135954875,435291.24694206053,1.391679211224414e-25,5.411646052817611e-25,1.3824411202976177e-14,2.0650626637288414e-14,47.0,0.0,47.0,0.0,5.0,0.0,133291.29475083164,435296.9585715103,133290.2466582561,435290.7397775035,0.04141728266299248,0.005512460484989593,0.002041819385648766,0.004638134173028839,0.09212818664665075,0.06091076629892545,0.008503613074995784,0.0009855453546294642,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
response,6,16,133290.39135954875,435291.24694206053,1.3866025060384345e-25,5.390410180373854e-25,1.3885956994280184e-14,2.058842667262932e-14,47.0,0.0,47.0,0.0,6.0,0.0,133291.29475083164,435296.9585715103,133290.2466582561,435290.7397775035,0.041417282662992494,0.005512460484989589,0.0020418193856487684,0.004638134173028849,0.09212818664665076,0.06091076629892545,0.008503613074995786,0.0009855453546294642,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
response,7,16,133290.39135954875,435291.24694206053,1.4024143398605816e-25,5.454186152029076e-25,1.3884917841195223e-14,2.072813320421514e-14,47.0,0.0,47.0,0.0,7.0,0.0,133291.29475083164,435296.9585715103,133290.2466582561,435290.7397775035,0.04141728266299249,0.005512460484989589,0.00204181938564877,0.004638134173028856,0.09212818664665075,0.06091076629892545,0.008503613074995784,0.000985545354629463,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
response,8,16,133290.39135954875,435291.24694206053,1.3979170474938065e-25,5.434875676146261e-25,1.3877247557216476e-14,2.0704167772276522e-14,47.0,0.0,47.0,0.0,8.0,0.0,133291.29475083164,435296.9585715103,133290.2466582561,435290.7397775035,0.04141728266299248,0.005512460484989592,0.00204181938564877,0.004638134173028858,0.09212818664665075,0.06091076629892545,0.008503613074995784,0.0009855453546294642,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,32.4375,5.819149422381247,19.8125,8.431834517667749,1.0,0.0
