exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,span_mode,kernel_family,kernel_lengthscale,kernel_signal_var,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,8,4,causal,seed,linear,nan,nan,0.95,0.001,2,0.05,0,0.0,3.0,3.0,4.0,1.9640238627743565,2.5075797587882347,74.60067789219994,0.6659677387445723,0.9697117794554971,0.5951497618264221,0.5779552415675695,"[51.82519623124785, 26.43572128404514, 20.721716641654893, 11.20249837042298, 0.0003779772553342554, 0.0002893919027015389, 0.00026692698930789994, 0.00025596681219292093]",0.07728959268211427,0.06553878746693388,0.06750143118866517,0.21901368059334875,"[0, 1, 2]","[0.0742226567225693, 0.06750143118866517, 0.07728959268211427, 0.0431414692743868]"
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,8,4,causal,seed,linear,nan,nan,0.95,0.001,2,0.05,0,1.0,2.0,4.0,4.0,1.4103047003492537,1.8690046337771686,32.00577419747954,0.27633093015500787,0.9999999999999963,0.8506874101836651,0.8506874101836651,"[8.483555151587476, 2.870097672006094, 2.218258193053569, 0.6123601967358061, 0.4281267460868028, 0.32041792378854905, 0.2603128207840754, 0.22157187201320658]",0.2536061543694944,0.1188829374512232,0.14251626497831776,0.39612241934781217,"[1, 2]","[0.040734000028955365, 0.14251626497831776, 0.2536061543694944, 0.03867533042812526]"
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,8,4,causal,seed,linear,nan,nan,0.95,0.001,2,0.05,0,2.0,2.0,4.0,4.0,1.1158139576444144,1.3943749093780937,24.74655719976891,0.12800923202089393,0.9999999999999873,0.9338044591771365,0.9338044591771365,"[7.403910383598847, 0.9132395783507602, 0.795887290207644, 0.6885224411026083, 0.577361067935387, 0.41584898697137357, 0.32946468936105366, 0.29481901390459925]",0.08588733203911379,0.057603936694616595,0.05531751700044786,0.14120484903956165,"[1, 2]","[0.039505952973669864, 0.05531751700044786, 0.08588733203911379, 0.049704944765234835]"
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,8,4,causal,seed,linear,nan,nan,0.95,0.001,2,0.05,0,3.0,2.0,4.0,4.0,1.3007216394164114,1.8691250507641854,21.433308285042514,0.13345341357934537,0.9999999999999837,0.9308848405794631,0.9308848405794631,"[6.697181112989929, 1.6777558146656777, 1.144043371487251, 0.7820391851531582, 0.6076369527354067, 0.5173912710615252, 0.3935096365106981, 0.3680427688246426]",0.12183726264504507,0.07049259087846987,0.07560294807708572,0.1974402107221308,"[2, 3]","[0.036804353938910905, 0.04772579885283777, 0.07560294807708572, 0.12183726264504507]"
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,8,4,causal,seed,linear,nan,nan,0.95,0.001,2,0.05,0,4.0,0.0,4.0,4.0,2.189445103622827,3.63703533703383,17.124476135304192,0.09717070769482392,0.9999999999999649,0.9501732959335222,0.9501732959335222,"[5.353281125333672, 2.7354326035824656, 1.638863677811342, 1.3249706254515963, 0.9532837827044032, 0.7066327895448609, 0.6128010916751573, 0.5344207670362852]",0.03541717231327886,0.024750841897009473,0.0,0.0,[],"[0.023167516066700054, 0.03541717231327886, 0.02424182991297518, 0.0161768492950838]"
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,8,4,causal,seed,linear,nan,nan,0.95,0.001,2,0.05,0,5.0,0.0,4.0,4.0,3.681621585677366,5.952110242529679,15.125170808326525,0.13515875732338892,0.9999999999999677,0.9299684095046491,0.9299684095046491,"[4.634228304869176, 3.514799911058398, 2.106997423231052, 1.7782738150253201, 1.5728365187257634, 0.9158079009013714, 0.7755587365177233, 0.7307469742623441]",0.032187905969294536,0.024515485054103583,0.0,0.0,[],"[0.023186597457305263, 0.015179534631299948, 0.027507902158514577, 0.032187905969294536]"
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,8,4,causal,seed,linear,nan,nan,0.95,0.001,2,0.05,0,6.0,0.0,4.0,4.0,4.3933162329804585,6.989123779076033,17.18249597709288,0.10473116920700476,0.9999999999999677,0.9461864672425789,0.9461864672425789,"[5.56814732322582, 4.328085701099638, 2.912467539046474, 2.5655838270530498, 2.247429508467479, 1.4427648695655018, 1.2561021137358694, 0.9532436300416783]",0.022620148153854547,0.017233657143267904,0.0,0.0,[],"[0.019559438313669887, 0.00940878851101281, 0.017346253594534376, 0.022620148153854547]"
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,8,4,causal,seed,linear,nan,nan,0.95,0.001,2,0.05,0,7.0,0.0,4.0,4.0,4.616513265472124,6.985950938799642,23.294266400931992,0.1362951995729912,0.9999999999999866,0.9293571974364899,0.9293571974364899,"[8.530855830257444, 7.293990374335024, 5.342416620844754, 4.2862616431951075, 3.378270356395151, 2.09844453882124, 2.037621416291964, 1.5054217745055194]",0.033258312461389515,0.022091145640923588,0.0,0.0,[],"[0.020778730101845503, 0.006644332889775453, 0.033258312461389515, 0.027683207110683884]"
2b,dx40,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,8,4,causal,seed,linear,nan,nan,0.95,0.001,2,0.05,0,8.0,0.0,4.0,4.0,4.005073600809348,6.851426844865339,31.797103507596304,0.0988927846203856,0.99999999999999,0.9492666724264649,0.9492666724264649,"[11.428910261603502, 8.431368071062282, 5.096083845450915, 4.361322300388925, 3.9339027928559256, 3.1742449298634616, 2.4785030255614275, 1.9681023473837482]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0]"
