episode,probe_kind,basis,rank,TQ_E_model_to_operator,actLR_E_model_to_operator,actLR_model_fit_gain,TQ_E_operator_to_T,actLR_E_operator_to_T,actLR_KRR_cost,TQ_rho_operator_to_T,actLR_rho_operator_to_T,actLR_rho_KRR_cost,TQ_X_use,actLR_X_use,TQ_X_sub,actLR_X_sub
0,isotropic,raw,6,0.3222991986931376,0.17268043999345306,0.14961875869968455,0.043705496521061774,0.26958765202164175,0.22588215550058,0.0018356770883213268,0.12083495054180497,0.11899927345348364,0.9054993209619624,0.9728729373252741,0.9980898295738513,0.9273224978776027
0,isotropic,response,6,0.3277486479909032,0.18393470019108926,0.14381394779981393,0.05777305920701838,0.27800810870334036,0.22023504949632197,0.0030604797006797226,0.1272464788465909,0.12418599914591118,0.9022766614868869,0.9692217576370291,0.996662273629869,0.9227114914953454
0,label,raw,6,0.01712461497959391,0.008263626176752683,0.008860988802841226,0.0019416463002454097,0.014867227130779606,0.012925580830534196,0.0018356770883213268,0.12083495054180497,0.11899927345348364,0.9997059106182136,0.9999315175895729,0.9999962300096448,0.9997789655574423
0,label,response,6,0.017466559449682315,0.008812162385998868,0.008654397063683447,0.0025014698324144742,0.014960885395700122,0.012459415563285649,0.0030604797006797226,0.1272464788465909,0.12418599914591118,0.9996940485995017,0.9999221241686803,0.9999937426486776,0.9997761719081771
1,isotropic,raw,6,0.3983329882440036,0.27074691184918487,0.12758607639481873,0.07544136429774093,0.31697725803385124,0.2415358937361103,0.005803766669311045,0.24310417361930117,0.23730040694999013,0.8668889144877505,0.9385037406056816,0.9943086005529067,0.899525417889539
1,isotropic,response,6,0.3974509383835227,0.2675912288394053,0.1298597095441174,0.06267484847695587,0.3077199677517182,0.24504511927476236,0.004298982447940439,0.21765252710325142,0.21335354465531098,0.8674777716680033,0.9399289221779766,0.9960718633683984,0.9053084214470678
1,label,raw,6,0.017869777712324345,0.00830234576412313,0.009567431948201215,0.002148945317077161,0.014758141958413955,0.012609196641336794,0.005803766669311045,0.24310417361930117,0.23730040694999013,0.9996862835020582,0.9999322825352375,0.9999953820340243,0.9997821972459358
1,label,response,6,0.01780175147298326,0.008490444465658751,0.00931130700732451,0.0019654877997429487,0.014076972762737332,0.012111484962994383,0.004298982447940439,0.21765252710325142,0.21335354465531098,0.9996886674526371,0.9999291793498728,0.999996136857709,0.9998018388378376
2,isotropic,raw,6,0.22035331252921656,0.21221754356205624,0.008135768967160312,0.0732878258074857,0.08662892937871326,0.013341103571227558,0.00437535924666086,0.10335370475324224,0.09897834550658138,0.9533546294212382,0.9567354742941733,0.9946288945884223,0.9924954285947128
2,isotropic,response,6,0.2643839795562233,0.2577523789002647,0.0066316006559585805,0.13678816912113342,0.13964678629609079,0.002858617174957362,0.015584589236179443,0.1162155484877471,0.10063095925156765,0.9328509842404845,0.936177362873975,0.9812889967885253,0.9804987750772126
2,label,raw,6,0.007542271258409682,0.004389686539540136,0.0031525847188695463,0.0012570532042039822,0.006088587726705387,0.004831534522501405,0.00437535924666086,0.10335370475324224,0.09897834550658138,0.9999428860899419,0.9999806534016322,0.9999984198172418,0.9999629290994942
2,label,response,6,0.0076602223204814855,0.004827737865104093,0.0028324844553773926,0.002366509362639017,0.006502219981399138,0.004135710618760121,0.015584589236179443,0.1162155484877471,0.10063095925156765,0.9999410857509725,0.9999765995095704,0.9999943996334365,0.9999577211353136
3,isotropic,raw,6,0.19168233703271703,0.13194224431310375,0.05974009271961328,0.07409785121939019,0.1484494743227656,0.0743516231033754,0.005562525539666386,0.03685133096495602,0.03128880542528963,0.9646540554806283,0.9832527642434433,0.9945095084446799,0.977962753573338
3,isotropic,response,6,0.21334721521316807,0.16457680542353284,0.04877040978963523,0.06715835156200203,0.1451648514167715,0.07800649985476946,0.0049793520941223005,0.03556610273750236,0.03058675064338006,0.9562125800031028,0.9739437053900856,0.9954897558154834,0.9789271659131881
3,label,raw,6,0.0075301185845240235,0.004787848223897525,0.002742270360626499,0.002657085272118835,0.006567416952158906,0.003910331680040071,0.005562525539666386,0.03685133096495602,0.03128880542528963,0.9999435105243147,0.9999771627049894,0.9999929398978568,0.9999568690345766
3,label,response,6,0.008248141846119312,0.0062404674442652405,0.002007674401854072,0.002458288355694507,0.006427323032015018,0.003969034676320511,0.0049793520941223005,0.03556610273750236,0.03058675064338006,0.999932223965553,0.9999612029989604,0.9999939568183602,0.9999586895186422
