episode,r_eff_T_task,r_eff_T_task_strict,rank_tau_task,krr_risk_total,krr_signal_total,E_F_T,F_T_excess_over_krr_risk
0,19,30,0.06025498962786682,8.665284568473323,119.33471543152687,0.11580459465242571,0.1412975449703579
1,18,31,0.06893181134984447,11.108427345544888,116.89157265445527,0.09313993937680291,0.07813545692490084
2,19,31,0.06519198952812541,10.027639980891765,117.97236001910855,0.09004208862039988,0.09714450211336433
3,18,31,0.07445089835756409,12.773826696499796,115.22617330349962,0.14973054787880075,0.25622750662084354
4,18,32,0.06553828285402827,10.12600452551784,117.87399547448209,0.09502029586941446,0.07923273467102107
5,19,31,0.06131753107202083,8.952025794292553,119.04797420570785,0.07595260656002083,0.06944146390469808
6,19,32,0.061117644727759976,8.89780684106581,119.10219315893438,0.0905443564017215,0.13187954224028003
7,18,30,0.06566087278645802,10.160911583762271,117.83908841623762,0.10801050780117108,0.14872612935435559
8,18,29,0.06802392937582932,10.842364973657732,117.15763502634171,0.10544363428004677,0.15735716580439485
9,18,31,0.06698631257520211,10.541147552190388,117.45885244781005,0.10258777290319682,0.11939786559771842
10,18,29,0.06546691226552848,10.105702534763099,117.89429746523633,0.09045352400025553,0.12317496166457143
11,19,33,0.056341712729731354,7.641305348190793,120.3586946518092,0.07637154393384635,0.09984820869422556
12,18,31,0.06284551875802379,9.370671204992638,118.62932879500693,0.10486871816396492,0.06643364355186085
13,17,27,0.06379356252473828,9.634082810410309,118.3659171895894,0.09782712779731473,0.09547638029701444
14,18,29,0.06127371239282626,8.94012910345068,119.05987089655004,0.08767643810978178,0.10699912073082565
15,19,32,0.05884372433725118,8.290110693044635,119.70988930695472,0.06983126247183655,0.09299978935934168
